Hrac,Vek,Prumerny_cas_na_lede_min
Craig Smith,30,13.42
Casey Cizikas,28,14.29
David Savard,29,20.69
Nicolas Deslauriers,28,9.78
Cody Eakin,28,14.58
Kevin Connauton,29,15.5
Gabriel Dumont,29,11.51
Gabriel Bourque,29,8.6
Ben Chiarot,28,23.13
Erik Haula,28,15.83
Anders Lee,29,18.3
Nick Jensen,29,17.75
Nic Dowd,29,10.94
Justin Dowling,29,10.95
Brandon Manning,29,11.05
Brenden Dillon,29,19.56
Andrew Agozzino,28,7.36
Radko Gudas,29,16.71
Matt Irwin,32,14.47
Christopher Tanev,30,19.53
Mats Zuccarello,32,15.94
Calle Jarnkrok,28,15.94
Martin Marincin,27,15.19
Justin Holl,27,18.51
Jason Zucker,27,16.34
Tyler Toffoli,27,16.83
Johan Larsson,27,14.9
Stephen Johns,27,17.5
Greg McKegg,27,9.56
Jordan Weal,27,13.61
Evgeny Kuznetsov,27,17.76
Charlie Coyle,27,16.91
Patrik Nemeth,27,22.04
Dalton Smith,27,1.43
Jon Merrill,27,18.15
Tyler Pitlick,28,12.12
Justin Faulk,27,20.58
Brock Nelson,28,18.86
Nick Bjugstad,27,12.23
Derek Forbort,27,17.81
Kevin Hayes,27,17.73
Cam Fowler,28,21.99
Vladimir Tarasenko,28,16.09
Austin Watson,27,11.62
Jaden Schwartz,27,18.12
Riley Sheahan,28,12.79
Chris Wagner,28,12.35
Jeff Skinner,27,16.48
Zach Hyman,27,19.1
Erik Gudbranson,27,19.36
Taylor Hall,28,19.17
Brett Connolly,27,14.49
Ryan Johansen,27,17.06
Tyler Seguin,27,19.1
Dylan McIlrath,27,14.82
Mark Pysyk,27,12.75
Jarred Tinordi,27,16.61
Mikael Granlund,27,17.8
Nino Niederreiter,27,14.82
Joakim Nordstrom,27,11.96
Michael Chaput,27,10.01
Bryan Rust,27,19.77
Joonas Donskoi,27,16.08
Jani Hakanpaa,27,18.12
Tom Kuhnhackl,27,11.3
Marcus Sorensen,27,13.84
Tim Heed,28,13.0
Sam Carrick,27,13.77
Brendan Gallagher,27,16.91
Jesper Fast,28,16.61
Kevin Gravel,27,11.09
Anthony Bitetto,29,15.16
Brandon Davidson,28,12.48
Zach Trotman,29,14.71
John Klingberg,27,22.25
Micheal Ferland,27,9.8
Mark Stone,27,19.36
Michael Sgarbossa,27,8.11
Ben Street,32,8.13
Taylor Fedun,31,13.75
Cory Conacher,30,11.09
Brian Gibbons,31,9.76
Colin Blackwell,26,10.95
Matthew Peca,26,10.44
Ryan Dzingel,27,14.15
Ondrej Palat,28,16.19
Scott Wilson,27,11.63
Josh Manson,28,20.63
Josh Archibald,27,13.23
Travis Boyd,26,11.68
Dylan DeMelo,26,20.14
Tyler Graovac,26,6.26
Johnny Gaudreau,26,18.77
Tobias Rieder,26,11.09
Fredrik Claesson,27,14.49
Nick Seeler,26,11.93
Sean Kuraly,26,13.23
Andrew Shaw,28,14.46
Vincent Trocheck,26,16.73
TJ Tynan,27,8.47
Adam Lowry,26,14.96
Nick Cousins,26,13.48
Steven Fogarty,26,5.89
Blake Coleman,28,16.59
Logan Shaw,27,6.82
Andy Andreoff,28,8.53
Nick Shore,27,9.18
Alan Quine,26,9.81
Josh Leivo,26,15.01
Jean-Gabriel Pageau,27,19.16
Mike Reilly,26,18.02
Rocco Grimaldi,26,12.65
Scott Mayfield,27,19.94
Tomas Jurco,27,9.98
Boone Jenner,26,18.12
Victor Rask,26,10.48
Brandon Saad,27,16.75
Brett Ritchie,26,10.4
Markus Granlund,26,10.83
Joel Edmundson,26,18.45
Matt Nieto,27,13.5
Xavier Ouellet,26,13.9
Miikka Salomaki,26,12.15
William Karlsson,26,18.9
Scott Harrington,26,13.95
Nikita Kucherov,26,18.89
Ryan Nugent-Hopkins,26,20.47
Gabriel Landeskog,27,20.11
Jonathan Huberdeau,26,18.77
Adam Larsson,27,19.83
Ryan Strome,26,19.59
Mika Zibanejad,26,21.63
Mark Scheifele,26,21.8
Sean Couturier,27,19.8
Dougie Hamilton,26,23.28
Jonas Brodin,26,21.55
Sven Baertschi,27,11.82
Jamie Oleksiak,27,15.96
J.T. Miller,26,20.1
Joel Armia,26,17.23
Nathan Beaulieu,27,17.0
Oscar Klefbom,26,25.41
Connor Murphy,26,21.25
Stefan Noesen,26,11.53
Phillip Danault,26,18.84
Vladislav Namestnikov,27,14.96
Rickard Rakell,26,18.16
Colin Miller,27,17.13
Jonathan Marchessault,29,17.27
Barclay Goodrow,26,15.82
Brad Hunt,31,15.14
Torey Krug,28,20.58
Matt Tennyson,29,12.15
Luke Glendening,30,15.35
Yanni Gourde,28,14.06
Ryan Murray,26,19.96
Alex Galchenyuk,25,12.3
Morgan Rielly,25,24.2
Hampus Lindholm,25,23.07
Matt Dumba,25,22.5
Pontus Aberg,26,8.7
Phillip Di Giuseppe,26,11.29
Brendan Gaunce,25,9.17
Brady Skjei,25,20.69
Stefan Matteau,25,12.36
Tanner Pearson,27,16.51
Scott Laughton,25,14.58
Mark Jankowski,25,11.1
Olli Maatta,25,18.42
Mike Matheson,25,18.04
Zemgus Girgensons,25,13.79
Cody Ceci,26,20.54
Tom Wilson,25,18.23
Tomas Hertl,26,18.45
Teuvo Teravainen,25,19.19
Derrick Pouliot,25,8.33
Jacob Trouba,25,22.56
Slater Koekkoek,25,16.76
Filip Forsberg,25,17.35
Radek Faksa,25,15.81
Matt Grzelcyk,25,18.07
Colton Parayko,26,23.04
Brendan Leipsic,25,9.16
