Home,Away,Goals_home,Goals_away,First_goal_team,Winner
NY Rangers,Edmonton,1,4,Edmonton,Edmonton
Ottawa,Tampa Bay,4,2,Ottawa,Ottawa
Los Angeles,Nashville,7,4,Los Angeles,Los Angeles
Chicago,Winnipeg,2,3,Winnipeg,Winnipeg
Boston,New Jersey,3,0,Boston,Boston
Montreal,St Louis,6,3,St Louis,Montreal
Detroit,Toronto,2,5,Toronto,Toronto
NY Islanders,Florida,3,2,NY Islanders,NY Islanders
Carolina,Columbus,2,3,Carolina,Columbus
Dallas,Washington,1,4,Washington,Washington
Minnesota,Pittsburgh,4,7,Pittsburgh,Pittsburgh
Colorado,Arizona,3,2,Colorado,Colorado
Vancouver,Philadelphia,3,2,Philadelphia,Vancouver
Vegas,Calgary,6,2,Calgary,Vegas
NY Rangers,Edmonton,1,4,Edmonton,Edmonton
Ottawa,Tampa Bay,4,2,Ottawa,Ottawa
Los Angeles,Nashville,7,4,Los Angeles,Los Angeles
Chicago,Winnipeg,2,3,Winnipeg,Winnipeg
Boston,New Jersey,3,0,Boston,Boston
Montreal,St Louis,6,3,St Louis,Montreal
Detroit,Toronto,2,5,Toronto,Toronto
NY Islanders,Florida,3,2,NY Islanders,NY Islanders
Carolina,Columbus,2,3,Carolina,Columbus
Dallas,Washington,1,4,Washington,Washington
Minnesota,Pittsburgh,4,7,Pittsburgh,Pittsburgh
Colorado,Arizona,3,2,Colorado,Colorado
Vancouver,Philadelphia,3,2,Philadelphia,Vancouver
Vegas,Calgary,6,2,Calgary,Vegas
Winnipeg,Pittsburgh,2,7,Winnipeg,Pittsburgh
Los Angeles,Vegas,2,5,Vegas,Vegas
San Jose,Calgary,3,1,Calgary,San Jose
Winnipeg,Pittsburgh,2,7,Winnipeg,Pittsburgh
Los Angeles,Vegas,2,5,Vegas,Vegas
San Jose,Calgary,3,1,Calgary,San Jose
Boston,Anaheim,4,2,Boston,Boston
Ottawa,Minnesota,0,2,Minnesota,Minnesota
New Jersey,Florida,4,6,New Jersey,Florida
NY Islanders,St Louis,3,2,St Louis,NY Islanders
Buffalo,Dallas,4,0,Buffalo,Buffalo
Washington,Colorado,3,6,Washington,Colorado
Chicago,Edmonton,3,1,Chicago,Chicago
Boston,Anaheim,4,2,Boston,Boston
Ottawa,Minnesota,0,2,Minnesota,Minnesota
New Jersey,Florida,4,6,New Jersey,Florida
NY Islanders,St Louis,3,2,St Louis,NY Islanders
Buffalo,Dallas,4,0,Buffalo,Buffalo
Washington,Colorado,3,6,Washington,Colorado
Chicago,Edmonton,3,1,Chicago,Chicago
Toronto,Minnesota,4,2,Toronto,Toronto
Montreal,Tampa Bay,1,3,Tampa Bay,Tampa Bay
Winnipeg,Arizona,2,4,Arizona,Arizona
Calgary,Philadelphia,3,1,Calgary,Calgary
Vancouver,Detroit,5,1,Vancouver,Vancouver
Vegas,Nashville,2,5,Vegas,Nashville
Los Angeles,Carolina,0,2,Carolina,Carolina
Toronto,Minnesota,4,2,Toronto,Toronto
Montreal,Tampa Bay,1,3,Tampa Bay,Tampa Bay
Winnipeg,Arizona,2,4,Arizona,Arizona
Calgary,Philadelphia,3,1,Calgary,Calgary
Vancouver,Detroit,5,1,Vancouver,Vancouver
Vegas,Nashville,2,5,Vegas,Nashville
Los Angeles,Carolina,0,2,Carolina,Carolina
Pittsburgh,Colorado,3,2,Pittsburgh,Pittsburgh
Washington,Toronto,4,3,Washington,Washington
Columbus,Dallas,3,2,Columbus,Columbus
Edmonton,Philadelphia,6,3,Edmonton,Edmonton
Anaheim,Buffalo,5,2,Anaheim,Anaheim
San Jose,Carolina,5,2,San Jose,San Jose
Pittsburgh,Colorado,3,2,Pittsburgh,Pittsburgh
Washington,Toronto,4,3,Washington,Washington
Columbus,Dallas,3,2,Columbus,Columbus
Edmonton,Philadelphia,6,3,Edmonton,Edmonton
Anaheim,Buffalo,5,2,Anaheim,Anaheim
San Jose,Carolina,5,2,San Jose,San Jose
Boston,Tampa Bay,3,4,Tampa Bay,Tampa Bay
Montreal,Minnesota,4,0,Montreal,Montreal
New Jersey,NY Rangers,5,2,New Jersey,New Jersey
St Louis,Vancouver,3,4,St Louis,Vancouver
Winnipeg,NY Islanders,1,3,NY Islanders,NY Islanders
Calgary,Detroit,5,1,Calgary,Calgary
Arizona,Nashville,5,2,Nashville,Arizona
Vegas,Ottawa,3,2,Vegas,Vegas
Los Angeles,Buffalo,0,3,Buffalo,Buffalo
Boston,Tampa Bay,3,4,Tampa Bay,Tampa Bay
Montreal,Minnesota,4,0,Montreal,Montreal
New Jersey,NY Rangers,5,2,New Jersey,New Jersey
St Louis,Vancouver,3,4,St Louis,Vancouver
Winnipeg,NY Islanders,1,3,NY Islanders,NY Islanders
Calgary,Detroit,5,1,Calgary,Calgary
Arizona,Nashville,5,2,Nashville,Arizona
Vegas,Ottawa,3,2,Vegas,Vegas
Los Angeles,Buffalo,0,3,Buffalo,Buffalo
Florida,Colorado,4,5,Colorado,Colorado
Pittsburgh,Dallas,4,2,Dallas,Pittsburgh
Washington,NY Rangers,5,2,Washington,Washington
Chicago,Columbus,3,2,Columbus,Chicago
Edmonton,Detroit,2,1,Edmonton,Edmonton
Anaheim,Carolina,4,2,Anaheim,Anaheim
Florida,Colorado,4,5,Colorado,Colorado
Pittsburgh,Dallas,4,2,Dallas,Pittsburgh
Washington,NY Rangers,5,2,Washington,Washington
Chicago,Columbus,3,2,Columbus,Chicago
Edmonton,Detroit,2,1,Edmonton,Edmonton
Anaheim,Carolina,4,2,Anaheim,Anaheim
New Jersey,Vancouver,1,0,New Jersey,New Jersey
St Louis,Montreal,2,5,Montreal,Montreal
Arizona,Ottawa,5,2,Arizona,Arizona
Toronto,Boston,4,3,Boston,Toronto
Tampa Bay,Colorado,2,6,Colorado,Colorado
Philadelphia,Dallas,1,4,Philadelphia,Dallas
Pittsburgh,Vegas,0,3,Vegas,Vegas
Columbus,NY Islanders,2,3,Columbus,NY Islanders
Nashville,Florida,2,3,Florida,Florida
Los Angeles,Calgary,4,1,Los Angeles,Los Angeles
